Indent	Cycle	Max.	Plastic	Max.				Contact	Plastic	Elastic	Fit
		Depth	Depth	Load	Hardness	Er	ERP	Compliance	Work	Work	MSE
		(nm)	(nm)	(mN)	(GPa)	(GPa)		(nm/mN)	(nJ)	(nJ)
36	1	493.305343	371.142558	99.128357	16.103943	210.238289	0.329153	1.643160	4.436879	19.269469	0.290754
36	2	937.701578	740.881632	233.176636	11.770169	171.100160	0.265656	1.125441	10.966175	82.760151	0.645227
36	3	1380.365661	1129.530645	396.359680	5.840823	123.304593	0.222070	0.843796	22.212505	202.689065	1.266928
36	4	1577.547171	1287.659982	500.249939	4.193434	101.562899	0.225127	0.772646	170.988497	126.300639	2.343787
37	1	474.054785	355.651068	102.289238	18.026952	233.129083	0.332921	1.543384	3.442621	19.144130	0.322172
37	2	932.516949	747.991175	238.735443	11.827710	185.113210	0.246695	1.030573	13.292502	83.993234	0.457344
37	3	1367.964967	1115.716638	432.198486	6.690740	137.036444	0.226086	0.778187	14.884769	218.545142	1.140173
37	4	1496.824658	1224.890578	500.249939	5.239937	121.025979	0.222007	0.724795	167.381003	116.638834	1.010085
38	1	481.628562	356.049021	91.810020	16.145202	197.075915	0.352703	1.823759	2.535340	17.814635	0.202915
38	2	948.420868	773.384657	202.765945	9.388408	160.232733	0.226325	1.150990	17.754451	70.978092	0.772861
38	3	1381.207692	1141.920839	384.655487	5.422739	122.690837	0.209548	0.829441	7.944065	194.071720	1.857549
38	4	1573.110457	1311.279043	500.249939	3.859712	107.878491	0.199676	0.697868	163.807613	120.641735	1.508549
39	1	475.681368	368.059759	98.420998	16.243080	238.816460	0.292403	1.457976	3.346273	18.181677	0.341095
39	2	926.227665	735.159878	251.963974	12.910242	191.882163	0.259900	1.011085	10.821398	87.832414	0.593195
39	3	1377.803382	1133.743683	418.610626	6.076546	132.838245	0.215269	0.777364	35.757646	211.299488	1.238021
39	4	1536.937831	1267.105725	500.249939	4.509262	113.145769	0.212952	0.719193	177.544289	111.552394	1.217944
40	1	479.398665	374.485190	83.413620	13.324472	204.266842	0.280154	1.677000	3.448711	15.544480	0.274864
40	2	962.549358	808.747151	201.903381	8.483420	172.973816	0.190173	1.015682	18.788928	70.422678	0.611668
40	3	1396.712320	1177.895683	386.918732	4.795158	126.536747	0.185769	0.754049	8.613755	194.110123	1.500770
40	4	1605.932071	1340.626022	500.249939	3.484866	101.163781	0.197897	0.707129	179.625123	112.254575	2.155168
41	1	510.074369	392.220757	103.301399	15.147916	215.760686	0.300478	1.521162	7.263058	20.530938	0.368771
41	2	924.680395	733.186509	246.164917	12.678185	187.530698	0.261180	1.037212	9.009975	85.519809	0.605792
41	3	1365.537763	1110.322514	434.230774	6.852598	137.393745	0.229857	0.783655	18.943390	218.346471	1.123575
41	4	1486.552771	1205.017619	500.249939	5.625748	121.125811	0.233636	0.750385	162.424627	117.292727	1.195107
42	1	473.305321	350.223870	106.321518	19.305840	236.618116	0.351436	1.543513	2.588436	20.240065	0.218149
42	2	932.222665	750.922285	234.133286	11.510343	184.061373	0.241437	1.032463	17.732626	81.580510	0.507288
42	3	1384.537242	1162.069036	386.240631	5.066082	127.815285	0.191441	0.767978	32.308409	192.338433	1.247013
42	4	1599.290474	1339.399464	500.249939	3.499704	103.491240	0.194035	0.692696	182.048822	109.802995	1.325449
43	1	475.225601	359.258224	102.317818	17.684521	235.788224	0.322797	1.511205	3.351568	19.264398	0.244350
43	2	924.982644	735.417996	249.028122	12.751220	191.085789	0.257764	1.014957	9.613719	86.940136	0.620816
43	3	1372.480773	1106.078290	427.667755	6.851715	130.617176	0.240853	0.830559	23.952523	218.616375	1.103360
43	4	1532.513464	1250.108259	500.249939	4.789626	111.418496	0.225905	0.752704	177.903823	120.259269	1.390710
44	1	490.939553	365.454547	90.855659	15.198130	190.355267	0.343367	1.841529	3.772478	17.807016	0.158678
44	2	940.641618	744.760791	225.819885	11.283356	165.650967	0.263012	1.156561	8.080802	80.667948	0.448552
44	3	1379.947579	1127.186915	401.333893	5.963837	124.420512	0.224240	0.839735	18.675044	204.072677	1.005128
44	4	1587.001977	1302.053109	500.249939	3.986506	100.741506	0.218846	0.759484	179.413981	124.209963	1.135632
45	1	475.504625	358.369027	100.632660	17.476378	230.139923	0.326857	1.551989	4.283931	18.791928	0.233663
45	2	949.542426	801.067117	201.106247	8.632705	180.392156	0.185347	0.984390	25.921979	68.964207	0.703498
45	3	1376.749733	1172.141568	390.238678	4.937068	137.899414	0.174559	0.699087	1.613459	190.783751	1.583626
45	4	1542.153978	1298.954936	500.249939	4.030095	118.679296	0.187227	0.648207	166.612351	101.469015	1.890949
46	1	480.687025	365.018161	93.601860	15.693158	212.993627	0.316885	1.647672	3.950883	17.744965	0.163599
46	2	929.904347	744.863660	235.942520	11.785958	183.190939	0.248422	1.045682	8.120211	82.088530	0.539899
46	3	1363.739342	1094.187807	443.784607	7.416548	136.814105	0.246349	0.809857	7.563079	226.355239	0.997191
46	4	1471.881346	1184.998480	500.249969	6.043888	123.206267	0.242096	0.764639	160.131289	123.017554	1.074468
47	1	475.620271	348.800346	96.331284	17.631588	208.894767	0.363589	1.755330	2.422561	18.471804	0.197412
47	2	935.671554	750.434770	230.833099	11.362722	177.725055	0.246839	1.069961	12.188726	80.970014	0.477789
47	3	1373.562598	1112.849253	411.100098	6.429467	126.760427	0.234276	0.845579	15.348261	210.120604	1.054956
47	4	1558.847127	1273.180657	500.249939	4.413344	105.731352	0.224372	0.761397	175.109119	125.191686	1.113862
48	1	474.933425	350.026893	98.581703	17.920116	216.306254	0.356848	1.689381	2.825415	18.796063	0.238617
48	2	933.235101	755.310299	236.667374	11.500585	188.485672	0.235565	1.002390	13.691267	82.605518	0.609929
48	3	1364.977280	1111.491376	435.172546	6.838942	138.342958	0.228059	0.776660	12.645743	219.681464	1.069394
48	4	1491.928480	1216.951575	500.249939	5.390677	121.396074	0.225956	0.732905	167.817898	116.725428	1.275337
49	1	478.697636	374.280130	94.811440	15.160722	233.400977	0.278982	1.468423	2.763656	17.278442	0.323397
49	2	953.105347	770.176937	255.978958	11.955049	194.393756	0.237515	0.952830	11.943815	90.962608	0.987696
49	3	1360.716832	1100.020206	451.602478	7.392623	142.471397	0.236993	0.769694	11.339917	228.334406	1.324767
49	4	1442.133597	1170.364105	500.249939	6.369308	133.513325	0.232209	0.724357	155.583248	115.368163	1.576712
50	1	476.976605	351.547738	87.818382	15.829181	191.077744	0.356790	1.904368	3.378514	16.850094	0.166309
50	2	931.603043	728.468572	226.124786	11.789905	163.392186	0.278851	1.197772	7.307876	80.485355	0.845660
50	3	1367.734546	1103.358445	418.693970	6.773120	129.481046	0.239610	0.841907	9.467340	213.465564	1.218731
50	4	1513.289799	1228.808675	500.249939	5.167163	114.881958	0.231510	0.758237	163.795721	121.651599	1.263006
Mean		1072.400998	853.045857	308.221769	9.889842	149.708233	0.276690	1.175571	45.987363	108.113153	0.873426
Errors		467.603504	396.179231	186.544447	4.861538	34.257338	0.057262	0.521899	78.579340	82.410883	0.507212
